Rank 	State	2000 Population	2010 Population	Change 	Percent change
1 	California 	33,871,648 	37,253,956 	3,382,308 Increase 	10.0% Increase
2 	Texas 	20,851,820 	25,145,561 	4,293,741 Increase 	20.6% Increase
3 	New York 	18,976,457 	19,378,102 	401,645 Increase 	2.1% Increase
4 	Florida 	15,982,378 	18,801,310 	2,818,932 Increase 	17.6% Increase
5 	Illinois 	12,419,293 	12,830,632 	411,339 Increase 	3.3% Increase
6 	Pennsylvania 	12,281,054 	12,702,379 	421,325 Increase 	3.4% Increase
7 	Ohio 	11,353,140 	11,536,504 	183,364 Increase 	1.6% Increase
8 	Michigan 	9,938,444 	9,883,640 	−54,804 Decrease 	−0.6% Decrease
9 	Georgia 	8,186,453 	9,687,653 	1,501,200 Increase 	18.3% Increase
10 	North Carolina 	8,049,313 	9,535,483 	1,486,170 Increase 	18.5% Increase
11 	New Jersey 	8,414,350 	8,791,894 	377,544 Increase 	4.5% Increase
12 	Virginia 	7,078,515 	8,001,024 	922,509 Increase 	13.0% Increase
13 	Washington 	5,894,121 	6,724,540 	830,419 Increase 	14.1% Increase
14 	Massachusetts 	6,349,097 	6,547,629 	198,532 Increase 	3.1% Increase
15 	Indiana 	6,080,485 	6,483,802 	403,317 Increase 	6.6% Increase
16 	Arizona 	5,130,632 	6,392,017 	1,261,385 Increase 	24.6% Increase
17 	Tennessee 	5,689,283 	6,346,105 	656,822 Increase 	11.5% Increase
18 	Missouri 	5,595,211 	5,988,927 	393,716 Increase 	7.0% Increase
19 	Maryland 	5,296,486 	5,773,552 	477,066 Increase 	9.0% Increase
20 	Wisconsin 	5,363,675 	5,686,986 	323,311 Increase 	6.0% Increase
21 	Minnesota 	4,919,479 	5,303,925 	384,446 Increase 	7.8% Increase
22 	Colorado 	4,301,261 	5,029,196 	727,935 Increase 	16.9% Increase
23 	Alabama 	4,447,100 	4,779,736 	332,636 Increase 	7.5% Increase
24 	South Carolina 	4,012,012 	4,625,364 	613,352 Increase 	15.3% Increase
25 	Louisiana 	4,468,976 	4,533,372 	64,396 Increase 	1.4% Increase
26 	Kentucky 	4,041,769 	4,339,367 	297,598 Increase 	7.4% Increase
27 	Oregon 	3,421,399 	3,831,074 	409,675 Increase 	12.0% Increase
28 	Oklahoma 	3,450,654 	3,751,351 	300,697 Increase 	8.7% Increase
29 	Connecticut 	3,405,565 	3,574,097 	168,532 Increase 	4.9% Increase
30 	Iowa 	2,926,324 	3,046,355 	120,031 Increase 	4.1% Increase
31 	Mississippi 	2,844,658 	2,967,297 	122,639 Increase 	4.3% Increase
32 	Arkansas 	2,673,400 	2,915,918 	242,518 Increase 	9.1% Increase
33 	Kansas 	2,688,418 	2,853,118 	164,700 Increase 	6.1% Increase
34 	Utah 	2,233,169 	2,763,885 	530,716 Increase 	23.8% Increase
35 	Nevada 	1,998,257 	2,700,551 	702,294 Increase 	35.1% Increase
36 	New Mexico 	1,819,046 	2,059,179 	240,133 Increase 	13.2% Increase
37 	West Virginia 	1,808,344 	1,852,994 	44,650 Increase 	2.5% Increase
38 	Nebraska 	1,711,263 	1,826,341 	115,078 Increase 	6.7% Increase
39 	Idaho 	1,293,953 	1,567,582 	273,629 Increase 	21.1% Increase
40 	Hawaii 	1,211,537 	1,360,301 	148,764 Increase 	12.3% Increase
41 	Maine 	1,274,923 	1,328,361 	53,438 Increase 	4.2% Increase
42 	New Hampshire 	1,235,786 	1,316,470 	80,684 Increase 	6.5% Increase
43 	Rhode Island 	1,048,319 	1,052,567 	4,248 Increase 	0.4% Increase
44 	Montana 	902,195 	989,415 	87,220 Increase 	9.7% Increase
45 	Delaware 	783,600 	897,934 	114,334 Increase 	14.6% Increase
46 	South Dakota 	754,844 	814,180 	59,336 Increase 	7.9% Increase
47 	Alaska 	626,932 	710,231 	83,299 Increase 	13.3% Increase
48 	North Dakota 	642,200 	672,591 	30,391 Increase 	4.7% Increase
49 	Vermont 	608,827 	625,741 	16,914 Increase 	2.8% Increase
— 	District of Columbia 	572,059 	601,723 	29,664 Increase 	5.2% Increase
50 	Wyoming 	493,782 	563,626 	69,844 Increase 	14.1% 
